System,Run,Experiment_Name,Method,Score_Type,B_add,gamma,tau_dom,Time_sec,Iter_1_Energy,Iter_1_Error,Iter_2_Energy,Iter_2_Error,Iter_3_Energy,Iter_3_Error,Iter_4_Energy,Iter_4_Error,Iter_5_Energy,Iter_5_Error,Iter_6_Energy,Iter_6_Error,Iter_7_Energy,Iter_7_Error,Iter_8_Energy,Iter_8_Error,Iter_9_Energy,Iter_9_Error,Iter_10_Energy,Iter_10_Error,Iter_11_Energy,Iter_11_Error,Iter_12_Energy,Iter_12_Error,Iter_13_Energy,Iter_13_Error,Iter_14_Energy,Iter_14_Error,Iter_15_Energy,Iter_15_Error,Iter_16_Energy,Iter_16_Error,Iter_17_Energy,Iter_17_Error,Iter_18_Energy,Iter_18_Error,Iter_19_Energy,Iter_19_Error,Iter_20_Energy,Iter_20_Error
pb2,run01.json,gamma_0.1,AS-SQD,ABC,600,0.1,0.001,0.3371152877807617,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10
pb2,run01.json,gamma_5.0,AS-SQD,ABC,600,5.0,0.001,0.3319838047027588,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10
pb2,run01.json,tau_dom_0.0001,AS-SQD,ABC,600,1.0,0.0001,0.3985249996185303,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10
pb2,run01.json,tau_dom_0.01,AS-SQD,ABC,600,1.0,0.01,0.32052087783813477,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10
pb2,run02.json,B_add_1200,AS-SQD,ABC,1200,1.0,0.001,0.33734869956970215,-4317.3804132543355,0.0007177578891059966,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10
pb2,run02.json,B_add_200,AS-SQD,ABC,200,1.0,0.001,0.3436250686645508,-4317.3804132543355,0.0007177578891059966,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10
pb2,run02.json,Proposed_Baseline(ABC),AS-SQD,ABC,600,1.0,0.001,0.34278392791748047,-4317.3804132543355,0.0007177578891059966,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10
pb2,run02.json,Score_A,AS-SQD,A,600,1.0,0.001,0.35023999214172363,-4317.3804132543355,0.0007177578891059966,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10
pb2,run02.json,Score_AB,AS-SQD,AB,600,1.0,0.001,0.34502100944519043,-4317.3804132543355,0.0007177578891059966,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10
pb2,run02.json,Score_AC,AS-SQD,AC,600,1.0,0.001,0.33206677436828613,-4317.3804132543355,0.0007177578891059966,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10,-4317.381131012585,3.601599019020796e-10
